Catalyst_ID,Time_s,Time_min,TIR-1 (°C),X_CH4,X_CO2,Y_H2,Y_CO,Y_H2O,S_H2,S_CO,H2_CO_Ratio,Carbon_Balance_%
Catalyst_01,8.516,0.14193333333333333,446.72,0.0,0.0,0.33926929485331736,0.0,0.06636595410924831,0.0,-0.0,0.0,100.16615389295931
Catalyst_01,14.252,0.23753333333333335,446.66,0.0,0.0,0.33971525908069194,0.0,0.06626763766871077,0.0,-0.0,0.0,100.11996978641177
Catalyst_01,19.988,0.33313333333333334,446.61,0.0,0.0,0.34090948834335993,0.0,0.07007814173274594,0.0,-0.0,0.0,100.18744247973514
Catalyst_01,25.724,0.42873333333333336,446.46,0.0,0.14726768684673042,0.33882010248795674,0.0,0.06860709779663064,0.0,0.0,0.0,99.97862353275384
Catalyst_01,31.46,0.5243333333333333,446.39,0.0,0.0,0.3385535571812691,0.0,0.06858641233559823,0.0,-0.0,0.0,100.07026379810715
Catalyst_01,37.196,0.6199333333333333,446.28,0.0,0.0,0.33751308047181167,0.0,0.06206565356910771,0.0,-0.0,0.0,100.0918255134304
Catalyst_01,42.932,0.7155333333333334,446.22,0.0,0.0,0.3374291127247826,0.0,0.059324726729003685,0.0,-0.0,0.0,100.2545010112204
Catalyst_01,48.668,0.8111333333333334,446.22,0.0,0.0,0.33517023071607205,0.0,0.054321413238964764,0.0,-0.0,0.0,100.10661893117326
Catalyst_01,54.404,0.9067333333333334,446.28,0.0,0.0010637154526760284,0.3345740945446075,0.0,0.053113928706301605,0.0,-0.0,0.0,100.14452887067573
Catalyst_01,60.14,1.0023333333333333,446.33,0.0,0.01991905309981501,0.3345444697189544,0.0,0.05025380914919555,0.0,-0.0,0.0,100.08260381599897
Catalyst_01,65.876,1.0979333333333334,446.47,0.0,0.059394993469730206,0.33377447819705924,0.0,0.0524868042679012,0.0,-0.0,0.0,100.09018335128972
Catalyst_01,71.612,1.1935333333333333,446.54,0.0,0.02017134584298974,0.3353677217026377,0.0,0.05672998806323865,0.0,-0.0,0.0,100.12946420087884
Catalyst_01,77.348,1.2891333333333332,446.65,0.0,0.12841894893206307,0.33564292734950246,0.0,0.0638092118317864,0.0,-0.0,0.0,100.01366398469236
Catalyst_01,83.084,1.3847333333333334,446.72,0.0,0.0,0.33780383333015057,0.0,0.06695760722937973,0.0,-0.0,0.0,100.06111186013959
Catalyst_01,88.82,1.4803333333333333,446.68,0.0,0.1912284394765873,0.34045396360599783,0.0,0.07687830071847104,0.0,-0.0,0.0,100.06694791910846
