PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\30-001-2026\MCD 256_kwinda_New_1%MeOH - Oxidative coupling_removed, Position 1, RGA PrismaPro A 100 47507368, 30-001-2026 12'30'20.isi
30/01/2026 12:30:20
SensorID:  RGA PrismaPro A 100 47507368
52 Bins
2582 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH2CH2	Sig:_MCD_CH3CH3	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
65,876	1769772686,347	30/01/2026_12:31:26,347	1	2	2,815851985e-06	2,196773494e-06	2,174434027e-12	6,849677509e-12	5,806249578e-12	1,181881242e-11	6,861512053e-11	9,133786089e-11	9,585766425e-13	8,949985257e-14	1,115984301e-11	6,038797392e-13	9,776699917e-15	4,999999912e-15	4,999999912e-15	1,653671063e-14	7,258424764e-12	9,968641987e-14	4,999999912e-15	5,977580965e-15	1,619909346e-14	1,077050671e-10	6,666185659e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	8,424770937e-09	39,64265203	0	0,2330157679	30,21727947	0	30,58912207	0,201228043	0,03164357252	0
71,612	1769772692,083	30/01/2026_12:31:32,083	1	2	2,813420906e-06	2,204362318e-06	2,184461813e-12	6,841529513e-12	5,814877226e-12	1,18374659e-11	6,869807501e-11	9,136345153e-11	9,543629992e-13	9,76651011e-14	1,115641954e-11	6,080616154e-13	1,991138476e-14	4,999999912e-15	7,144189279e-15	1,575913099e-14	7,290123366e-12	1,034297498e-13	5,793742629e-15	2,082332076e-14	1,828152396e-14	1,076400982e-10	6,670965169e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,470631259e-08	39,60914447	0	0,2467142698	30,22913792	0	30,60112737	0,2021885876	0,03420172968	0
77,348	1769772697,819	30/01/2026_12:31:37,819	1	2	2,808682211e-06	2,22473318e-06	2,184808107e-12	6,843768174e-12	5,826537603e-12	1,183459754e-11	6,877233505e-11	9,11667547e-11	9,531021805e-13	1,093559244e-13	1,109935147e-11	6,098510911e-13	2,474127335e-14	4,999999912e-15	1,2792897e-14	1,193528461e-14	7,289674073e-12	1,00847702e-13	5,846615272e-15	2,48848556e-14	1,64018579e-14	1,079051293e-10	6,667349312e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,800610448e-08	39,69070859	0	0,2748772522	30,19191909	0	30,5679957	0,2023545053	0,03846969634	0
83,084	1769772703,555	30/01/2026_12:31:43,555	1	2	2,812390903e-06	2,212825393e-06	2,201111472e-12	6,838778675e-12	5,829098489e-12	1,182928495e-11	6,868793034e-11	9,123223704e-11	9,445696178e-13	1,166427252e-13	1,115783507e-11	6,219711703e-13	2,017283503e-14	4,999999912e-15	2,638179998e-14	4,999999912e-15	7,305646539e-12	9,93915101e-14	1,5721787e-14	2,500418899e-14	1,732059388e-14	1,078232434e-10	6,678626402e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,501213041e-08	39,64897839	0	0,263411132	30,17652299	0	30,61221715	0,2036572858	0,04036782063	0
88,82	1769772709,291	30/01/2026_12:31:49,291	1	2	2,817326504e-06	2,222177272e-06	2,214322042e-12	6,835432827e-12	5,843003598e-12	1,184222425e-11	6,875392616e-11	9,122027439e-11	9,372970065e-13	1,34613322e-13	1,113084624e-11	6,297628434e-13	1,787309484e-14	4,999999912e-15	2,831580151e-14	4,999999912e-15	7,302152806e-12	9,014159184e-14	2,620474807e-14	1,729876245e-14	1,229666698e-14	1,076029821e-10	6,654000267e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,371315161e-08	39,63325982	0	0,2709790579	30,24351423	0	30,54877141	0,2052550129	0,04634887031	0
94,556	1769772715,027	30/01/2026_12:31:55,027	1	2	2,817891527e-06	2,209436389e-06	2,211693936e-12	6,830198733e-12	5,855047783e-12	1,183984334e-11	6,864140506e-11	9,118152067e-11	9,343792016e-13	1,323494808e-13	1,112422654e-11	6,337798667e-13	1,202744518e-14	4,999999912e-15	2,353344163e-14	4,999999912e-15	7,312660893e-12	7,762130646e-14	3,210569628e-14	1,028505606e-14	2,66844889e-14	1,076045017e-10	6,683649467e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,010480021e-08	39,59496289	0	0,2649078007	30,17668879	0	30,65545225	0,2047702684	0,04530894864	0
100,292	1769772720,763	30/01/2026_12:32:00,763	1	2	2,812309503e-06	2,228999847e-06	2,204002822e-12	6,818964664e-12	5,841844803e-12	1,180573955e-11	6,866719693e-11	9,120709743e-11	9,288130161e-13	1,308986014e-13	1,110443942e-11	6,32823763e-13	5,011802469e-15	4,999999912e-15	5,566729328e-15	4,999999912e-15	7,299216787e-12	7,230536157e-14	3,962679319e-14	4,999999912e-15	3,046468514e-14	1,075641451e-10	6,662248531e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,204659194e-09	39,61603402	0	0,2682325981	30,2192714	0	30,5862655	0,204422656	0,04425348234	0
106,028	1769772726,499	30/01/2026_12:32:06,499	1	2	2,816893357e-06	2,195087973e-06	2,193681434e-12	6,813731003e-12	5,841941948e-12	1,181459791e-11	6,865739921e-11	9,119911076e-11	9,373027528e-13	1,235613716e-13	1,111671519e-11	6,370351837e-13	4,999999912e-15	1,351517639e-14	4,999999912e-15	4,999999912e-15	7,310369324e-12	7,108394683e-14	3,68065665e-14	4,999999912e-15	3,159879449e-14	1,075510722e-10	6,677138009e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,152537368e-09	39,59228876	0	0,2682610061	30,19696139	0	30,63866038	0,2033500927	0,0423323221	0
111,764	1769772732,235	30/01/2026_12:32:12,235	1	2	2,81448547e-06	2,216222128e-06	2,18435838e-12	6,804562989e-12	5,836484941e-12	1,180252337e-11	6,852084178e-11	9,132802153e-11	9,408941725e-13	1,079167205e-13	1,112528038e-11	6,360884042e-13	4,999999912e-15	1,400219154e-14	4,999999912e-15	9,485168117e-15	7,28520716e-12	7,103931159e-14	3,070432092e-14	4,999999912e-15	3,460820768e-14	1,073915817e-10	6,658060214e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,450121963e-09	39,57899687	0	0,2251466732	30,23918637	0	30,59322769	0,2023565146	0,03690461035	0,0004132869821
117,5	1769772737,971	30/01/2026_12:32:17,971	1	2	2,818856274e-06	2,192566171e-06	2,172571801e-12	6,814145602e-12	5,834541617e-12	1,178580671e-11	6,875460618e-11	9,11854342e-11	9,496537671e-13	1,015321453e-13	1,111567869e-11	6,281903166e-13	4,999999912e-15	8,933151663e-15	4,999999912e-15	5,056427553e-15	7,294686556e-12	7,075894368e-14	2,357467181e-14	4,999999912e-15	3,442872479e-14	1,076757572e-10	6,679752584e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,250659909e-09	39,61953073	0	0,2723485993	30,19610475	0	30,6334491	0,2013673842	0,03528741793	0
