PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\04-002-2026\MCD 256_kwinda_New_1%MeOH - Oxidative coupling_removed, Position 1, RGA PrismaPro A 100 47507368, 04-002-2026 12'59'39.isi
04/02/2026 12:59:39
SensorID:  RGA PrismaPro A 100 47507368
52 Bins
2559 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH2CH2	Sig:_MCD_CH3CH3	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
8,529	1770206388,223	04/02/2026_12:59:48,223	1	2	2,770417495e-06	2,208592377e-06	2,441186576e-12	6,928375842e-12	5,915435242e-12	1,200410344e-11	6,935017838e-11	9,193177469e-11	9,370781061e-13	1,176167589e-13	1,127759431e-11	6,241055307e-13	9,972669459e-15	4,999999912e-15	2,304642649e-14	4,999999912e-15	7,41680415e-12	8,217519276e-14	1,555686291e-14	1,26464035e-14	9,580730374e-15	1,087225934e-10	6,735149938e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	8,853470342e-09	39,63610384	0	0,266953443	30,17193275	0	30,60174675	0,2237605293	0,03892386872	0
14,265	1770206393,959	04/02/2026_12:59:53,959	1	2	2,771128266e-06	2,221323484e-06	2,451552633e-12	6,927481592e-12	5,923051546e-12	1,197551173e-11	6,929511132e-11	9,211453822e-11	9,323176996e-13	1,204156539e-13	1,126736031e-11	6,362392167e-13	4,999999912e-15	4,999999912e-15	1,619812953e-14	4,999999912e-15	7,402661817e-12	7,510958272e-14	2,373426298e-14	4,999999912e-15	1,39279762e-14	1,087109153e-10	6,732590874e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,586137613e-09	39,61867036	0	0,2408607572	30,19070967	0	30,58628024	0,2244936606	0,03941175183	0
20,001	1770206399,695	04/02/2026_12:59:59,695	1	2	2,770236051e-06	2,234986823e-06	2,447698294e-12	6,920627699e-12	5,926660204e-12	1,197839744e-11	6,929651991e-11	9,190271461e-11	9,414375746e-13	1,186543539e-13	1,128622022e-11	6,386456576e-13	4,999999912e-15	4,999999912e-15	8,059047543e-15	4,999999912e-15	7,414363394e-12	6,564333224e-14	3,12573013e-14	4,999999912e-15	2,245221424e-14	1,089345697e-10	6,710879769e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,985759157e-09	39,71971906	0	0,2622259531	30,16729432	0	30,49859988	0,2244590916	0,03974014056	0
25,737	1770206405,431	04/02/2026_13:00:05,431	1	2	2,766991429e-06	2,215370614e-06	2,433408293e-12	6,917546397e-12	5,932421221e-12	1,197690471e-11	6,932281138e-11	9,203895979e-11	9,390786759e-13	1,106335957e-13	1,124339857e-11	6,370395205e-13	4,999999912e-15	5,162660731e-15	4,999999912e-15	4,999999912e-15	7,4043046e-12	6,455918428e-14	2,775166402e-14	4,999999912e-15	2,724718136e-14	1,088761373e-10	6,728852198e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,856263415e-09	39,66637539	0	0,2516971658	30,17207254	0	30,55794437	0,2229180864	0,03647660197	0
31,473	1770206411,167	04/02/2026_13:00:11,167	1	2	2,768252216e-06	2,22473318e-06	2,432229548e-12	6,917810508e-12	5,921911832e-12	1,197215764e-11	6,928123353e-11	9,193173306e-11	9,494640317e-13	1,063678632e-13	1,12467197e-11	6,387751656e-13	4,999999912e-15	1,439559768e-14	4,999999912e-15	4,999999912e-15	7,403307134e-12	6,704376231e-14	2,942128962e-14	4,999999912e-15	3,03254668e-14	1,090662838e-10	6,732693569e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,99238092e-09	39,7162135	0	0,2616991452	30,12628186	0	30,55940424	0,2227747259	0,03594832249	0
37,209	1770206416,903	04/02/2026_13:00:16,903	1	2	2,769145112e-06	2,22473318e-06	2,425724985e-12	6,929844285e-12	5,924778029e-12	1,19615047e-11	6,922976081e-11	9,197630851e-11	9,524342036e-13	9,396497659e-14	1,127023561e-11	6,325289142e-13	4,999999912e-15	1,101315287e-14	4,999999912e-15	4,999999912e-15	7,375908044e-12	6,892340973e-14	2,487856045e-14	4,999999912e-15	3,183648549e-14	1,087865423e-10	6,733962693e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,759580164e-09	39,655909	0	0,2456755847	30,15636772	0	30,59873088	0,2222866569	0,0317219056	0
42,945	1770206422,639	04/02/2026_13:00:22,639	1	2	2,772688049e-06	2,212825393e-06	2,416444865e-12	6,944595073e-12	5,913936008e-12	1,195808209e-11	6,92257987e-11	9,203196538e-11	9,610262889e-13	8,924855484e-14	1,127400603e-11	6,329581499e-13	4,999999912e-15	6,023188607e-15	4,999999912e-15	1,449066866e-14	7,383387304e-12	8,322781077e-14	1,61282815e-14	4,999999912e-15	3,33930881e-14	1,086979257e-10	6,728984731e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,609256212e-09	39,63617157	0	0,2399641985	30,17771204	0	30,58768031	0,2214322243	0,03075985215	0
48,681	1770206428,375	04/02/2026_13:00:28,375	1	2	2,774153927e-06	2,206895488e-06	2,406646714e-12	6,942149546e-12	5,905350427e-12	1,195021252e-11	6,931597657e-11	9,191798017e-11	9,599902253e-13	8,653409207e-14	1,126708535e-11	6,210893345e-13	4,999999912e-15	1,004737099e-14	4,999999912e-15	1,433156199e-14	7,361216671e-12	9,097736941e-14	1,159185764e-14	4,999999912e-15	3,123158877e-14	1,090263921e-10	6,71709563e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,998248327e-09	39,74015736	0	0,2640831496	30,16192805	0	30,51801937	0,2206595693	0,02967536026	0
54,417	1770206434,111	04/02/2026_13:00:34,111	1	2	2,764576038e-06	2,193404043e-06	2,40268699e-12	6,953746606e-12	5,892153952e-12	1,197573811e-11	6,927507873e-11	9,185586319e-11	9,638809933e-13	8,364934857e-14	1,129699632e-11	6,122827397e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	1,416130159e-14	7,35654853e-12	9,941041588e-14	4,999999912e-15	4,999999912e-15	2,299743749e-14	1,08651331e-10	6,728951424e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,038215621e-09	39,65346318	0	0,2682636713	30,17539166	0	30,60808645	0,2205847553	0,02908116151	0
60,153	1770206439,847	04/02/2026_13:00:39,847	1	2	2,774025461e-06	2,223026513e-06	2,40637653e-12	6,961386328e-12	5,891373327e-12	1,197356277e-11	6,922992735e-11	9,186855443e-11	9,606242668e-13	8,676060901e-14	1,130164799e-11	6,097671196e-13	7,477928731e-15	4,999999912e-15	4,999999912e-15	1,219286309e-14	7,375888962e-12	9,961123723e-14	4,999999912e-15	7,668077463e-15	1,847168116e-14	1,087694518e-10	6,731848412e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	7,425931684e-09	39,67223596	0	0,2597671972	30,15095207	0	30,60432775	0,2207323995	0,02992087315	0
65,889	1770206445,583	04/02/2026_13:00:45,583	1	2	2,774123686e-06	2,205207238e-06	2,416165358e-12	6,957503584e-12	5,895299006e-12	1,198589318e-11	6,93185509e-11	9,200697149e-11	9,58457055e-13	9,423079586e-14	1,128800352e-11	6,147421439e-13	2,402094467e-14	4,999999912e-15	7,834942954e-15	9,294053767e-15	7,383057707e-12	9,796974159e-14	4,999999912e-15	2,095915096e-14	1,385375748e-14	1,08702207e-10	6,736297631e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,732534805e-08	39,63050141	0	0,2552379592	30,18220452	0	30,61175259	0,2214900815	0,0323090921	0
