PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\04-002-2026\MCD 256_kwinda_New_1%MeOH - Oxidative coupling_removed, Position 1, RGA PrismaPro A 100 47507368, 04-002-2026 12'42'48.isi
04/02/2026 12:42:48
SensorID:  RGA PrismaPro A 100 47507368
52 Bins
171 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH2CH2	Sig:_MCD_CH3CH3	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
8,557	1770205376,596	04/02/2026_12:42:56,596	1	2	2,786136974e-06	2,234986823e-06	3,092462267e-12	7,01324632e-12	5,962798831e-12	1,215182035e-11	7,021034448e-11	9,343639057e-11	9,685694087e-13	1,002180516e-13	1,147384097e-11	6,238493337e-13	1,786969993e-14	4,999999912e-15	1,400073464e-14	5,898036101e-15	7,454451119e-12	1,003519506e-13	4,999999912e-15	1,609626027e-14	7,93922965e-15	1,107287387e-10	6,831921834e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,328670746e-08	39,70790074	0	0,2326776111	30,11901728	0	30,54239212	0,2782796378	0,03356075643	0
14,293	1770205382,332	04/02/2026_12:43:02,332	1	2	2,785800007e-06	2,195931756e-06	3,09647967e-12	6,991964299e-12	5,959500688e-12	1,2129674e-11	7,012878472e-11	9,331835998e-11	9,656685174e-13	1,04981521e-13	1,147789763e-11	6,243907301e-13	1,433446901e-14	4,999999912e-15	1,343804727e-14	4,999999912e-15	7,448540049e-12	9,450388605e-14	4,999999912e-15	1,730700917e-14	5,393551748e-15	1,108790698e-10	6,82825671e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,115220968e-08	39,7625204	0	0,2320829491	30,08158176	0	30,52598862	0,2786458355	0,03512765512	0
20,029	1770205388,068	04/02/2026_12:43:08,068	1	2	2,775787834e-06	2,227292043e-06	3,105153938e-12	6,984796422e-12	5,970783763e-12	1,212925073e-11	7,009426373e-11	9,325257233e-11	9,579967028e-13	1,212994413e-13	1,147342551e-11	6,362828558e-13	1,2304912e-14	4,999999912e-15	2,353149685e-14	4,999999912e-15	7,479723438e-12	9,139938155e-14	1,335655423e-14	1,401237118e-14	8,893857805e-15	1,107119743e-10	6,839080691e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	9,945592077e-09	39,71232254	0	0,2417840609	30,06566513	0	30,58017812	0,2794969938	0,04038305953	0
25,765	1770205393,804	04/02/2026_12:43:13,804	1	2	2,776390147e-06	2,222177272e-06	3,092844991e-12	6,980144761e-12	5,985178065e-12	1,211930122e-11	7,019852755e-11	9,314551908e-11	9,5179962e-13	1,232208237e-13	1,146301717e-11	6,403172263e-13	6,922995095e-15	4,999999912e-15	2,118421947e-14	4,999999912e-15	7,469184993e-12	8,321179845e-14	1,841734569e-14	9,499718449e-15	1,232867974e-14	1,104418154e-10	6,81707607e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	7,061446143e-09	39,69547435	0	0,2628379859	30,12800302	0	30,53858552	0,2791353802	0,04058928738	0
31,501	1770205399,540	04/02/2026_12:43:19,540	1	2	2,779788474e-06	2,212825393e-06	3,091196136e-12	6,979204107e-12	5,992089637e-12	1,206899164e-11	7,011963926e-11	9,335202056e-11	9,43210462e-13	1,18713985e-13	1,145607133e-11	6,45490497e-13	4,999999912e-15	4,999999912e-15	1,275409357e-14	4,999999912e-15	7,481480713e-12	6,863091909e-14	2,986367121e-14	4,999999912e-15	1,458573795e-14	1,103097544e-10	6,832139715e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,600427815e-09	39,62390256	0	0,2331733427	30,1327997	0	30,59361371	0,2786636922	0,03809278399	0
37,237	1770205405,276	04/02/2026_12:43:25,276	1	2	2,779686156e-06	2,222177272e-06	3,076754346e-12	6,979644727e-12	5,996400858e-12	1,210898829e-11	7,011488612e-11	9,319665178e-11	9,462723573e-13	1,155105471e-13	1,146819792e-11	6,497223549e-13	4,999999912e-15	4,999999912e-15	7,084529361e-15	4,999999912e-15	7,476022405e-12	6,776166e-14	2,895172844e-14	4,999999912e-15	2,12564951e-14	1,107863731e-10	6,835052663e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,863387677e-09	39,74034293	0	0,2503425999	30,05948713	0	30,56172931	0,2771277543	0,03726366633	0
42,973	1770205411,012	04/02/2026_12:43:31,012	1	2	2,776898782e-06	2,206895488e-06	3,062091813e-12	6,964698349e-12	5,988321384e-12	1,207285487e-11	7,010320796e-11	9,330528711e-11	9,576163647e-13	1,115649456e-13	1,144817314e-11	6,491431741e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	4,999999912e-15	7,467346186e-12	7,050427137e-14	3,184181502e-14	4,999999912e-15	2,909823126e-14	1,1062469e-10	6,853646123e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,90208386e-09	39,66911505	0	0,2477562036	30,06323595	0	30,63632783	0,2757422798	0,03681651011	0
48,709	1770205416,748	04/02/2026_12:43:36,748	1	2	2,782053116e-06	2,213675998e-06	3,049457605e-12	6,974289202e-12	5,979041047e-12	1,208817161e-11	7,008309211e-11	9,324285094e-11	9,661375432e-13	1,041757961e-13	1,145200774e-11	6,532133233e-13	4,999999912e-15	1,529831119e-14	4,999999912e-15	6,023666334e-15	7,45317523e-12	7,136528375e-14	2,566728873e-14	4,999999912e-15	3,203147925e-14	1,106080019e-10	6,836867184e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,748306825e-09	39,69848143	0	0,2415929805	30,07863612	0	30,58864955	0,2747763307	0,03499313977	0
54,445	1770205422,484	04/02/2026_12:43:42,484	1	2	2,783201353e-06	2,192566171e-06	3,034471329e-12	6,978839381e-12	5,970474982e-12	1,207946677e-11	7,015160675e-11	9,338653462e-11	9,715055366e-13	9,536391587e-14	1,145402002e-11	6,383089586e-13	4,999999912e-15	1,262747909e-14	4,999999912e-15	8,766282784e-15	7,451428363e-12	7,132551385e-14	2,115317063e-14	4,999999912e-15	3,347797097e-14	1,102006056e-10	6,832116123e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,579960617e-09	39,60035119	0	0,2302017314	30,15691796	0	30,60519389	0,2736697708	0,03221581363	0
60,181	1770205428,220	04/02/2026_12:43:48,220	1	2	2,781318244e-06	2,215370614e-06	3,017158572e-12	6,996360088e-12	5,96358336e-12	1,208246524e-11	7,021184328e-11	9,320041267e-11	9,773229318e-13	9,112290322e-14	1,145922419e-11	6,338933285e-13	4,999999912e-15	9,203331456e-15	4,999999912e-15	1,432572932e-14	7,437540167e-12	8,303572402e-14	1,506693397e-14	4,999999912e-15	2,885471267e-14	1,104790634e-10	6,815981113e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,962821318e-09	39,70625564	0	0,25733688	30,13859918	0	30,53354567	0,2723550269	0,0312889895	0
