PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\30-001-2026\MCD 256_kwinda_New_1%MeOH - Oxidative coupling_removed, Position 1, RGA PrismaPro A 100 47507368, 30-001-2026 12'09'37.isi
30/01/2026 12:09:37
SensorID:  RGA PrismaPro A 100 47507368
52 Bins
209 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH2CH2	Sig:_MCD_CH3CH3	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
65,858	1769771442,910	30/01/2026_12:10:42,910	1	2	2,829649702e-06	2,234132808e-06	3,047625737e-12	6,898728117e-12	5,932042618e-12	1,19928685e-11	6,989843426e-11	9,303846582e-11	9,623713501e-13	1,335791422e-13	1,139863204e-11	6,50931674e-13	4,999999912e-15	5,796653034e-15	6,99575692e-15	4,999999912e-15	7,412646885e-12	7,270215246e-14	3,65659651e-14	4,999999912e-15	3,291820077e-14	1,100769337e-10	6,821741089e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,07929336e-09	39,64000887	0	0,2561217673	30,1046445	0	30,62244859	0,2756979789	0,04561421856	0
71,594	1769771448,646	30/01/2026_12:10:48,646	1	2	2,842324875e-06	2,228148333e-06	3,029429789e-12	6,898885109e-12	5,927764356e-12	1,197381951e-11	6,988848389e-11	9,288959185e-11	9,532618835e-13	1,259576211e-13	1,137739035e-11	6,454035982e-13	4,999999912e-15	1,192218694e-14	4,999999912e-15	4,999999912e-15	7,389830935e-12	6,906409174e-14	2,95750566e-14	4,999999912e-15	3,429387037e-14	1,099602839e-10	6,816618103e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,159467966e-09	39,6439376	0	0,2615263599	30,1080816	0	30,63235539	0,2744219513	0,04217753441	0
77,33	1769771454,382	30/01/2026_12:10:54,382	1	2	2,828967126e-06	2,194246917e-06	3,010768284e-12	6,879624474e-12	5,915783922e-12	1,196812441e-11	6,971352662e-11	9,291632047e-11	9,612010623e-13	1,135139888e-13	1,138350525e-11	6,433697433e-13	4,999999912e-15	8,442739915e-15	4,999999912e-15	4,999999912e-15	7,372239971e-12	6,950988179e-14	2,811740437e-14	4,999999912e-15	3,123352678e-14	1,102549649e-10	6,813504622e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,74115024e-09	39,72014247	0	0,2347470005	30,06155969	0	30,60094448	0,2723286756	0,03844289927	0
83,066	1769771460,118	30/01/2026_12:11:00,118	1	2	2,833215376e-06	2,241853508e-06	2,984385091e-12	6,903067527e-12	5,912000056e-12	1,198214618e-11	6,979636313e-11	9,302262433e-11	9,647256952e-13	1,025134364e-13	1,139599352e-11	6,303377416e-13	4,999999912e-15	5,488631197e-15	4,999999912e-15	4,999999912e-15	7,372468087e-12	7,594295472e-14	1,550059113e-14	4,999999912e-15	2,9051658e-14	1,104700498e-10	6,804301567e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,572189407e-09	39,76615734	0	0,2226721116	30,07794713	0	30,5369355	0,269657499	0,03464037291	0
88,802	1769771465,854	30/01/2026_12:11:05,854	1	2	2,823598152e-06	2,200983772e-06	2,966070532e-12	6,89299182e-12	5,907659344e-12	1,194894617e-11	6,984509499e-11	9,277840995e-11	9,688239794e-13	9,337315806e-14	1,138898004e-11	6,272142636e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	1,250331083e-14	7,366613396e-12	8,106582354e-14	9,887778123e-15	4,999999912e-15	3,12117106e-14	1,103056535e-10	6,812435338e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,07953973e-09	39,74897375	0	0,2601762235	30,06372676	0	30,5979572	0,2685492297	0,03188136014	0
94,538	1769771471,590	30/01/2026_12:11:11,590	1	2	2,832658765e-06	2,204362318e-06	2,952085408e-12	6,91793671e-12	5,887316676e-12	1,194702323e-11	6,980117179e-11	9,291380165e-11	9,766385834e-13	9,165891245e-14	1,139347037e-11	6,227216008e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	1,277204389e-14	7,349461317e-12	8,453216697e-14	1,041263362e-14	4,999999912e-15	2,672280528e-14	1,100995198e-10	6,789312168e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,717047434e-09	39,72632907	0	0,2333391681	30,12925461	0	30,5395635	0,2674482041	0,03193157379	0
100,274	1769771477,326	30/01/2026_12:11:17,326	1	2	2,827685648e-06	2,175819873e-06	2,943547099e-12	6,925460639e-12	5,888951219e-12	1,194295617e-11	6,979063161e-11	9,286140606e-11	9,703218047e-13	9,010764276e-14	1,13931295e-11	6,179494308e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	1,259643872e-14	7,364814487e-12	9,550556011e-14	4,999999912e-15	4,999999912e-15	2,283347563e-14	1,101352967e-10	6,801823688e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,864679852e-09	39,72214384	0	0,2427211266	30,09999753	0	30,58147129	0,2666398038	0,03083126864	0
106,01	1769771483,062	30/01/2026_12:11:23,062	1	2	2,834263796e-06	2,177490387e-06	2,944169865e-12	6,935495147e-12	5,876006279e-12	1,194890888e-11	6,97009464e-11	9,303936788e-11	9,746424588e-13	9,355312206e-14	1,139621297e-11	6,195884734e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	1,102237198e-14	7,355911019e-12	1,002588176e-13	6,210421852e-15	1,42122303e-14	1,713432117e-14	1,098806462e-10	6,799025926e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,441280532e-09	39,65535764	0	0,2126191686	30,14065401	0	30,59460256	0,2666427204	0,03242369602	0
111,746	1769771488,798	30/01/2026_12:11:28,798	1	2	2,829937102e-06	2,22473318e-06	2,938056916e-12	6,93527874e-12	5,89183086e-12	1,199423113e-11	6,976981493e-11	9,277412866e-11	9,718567097e-13	1,038624482e-13	1,140242501e-11	6,198819669e-13	2,259093452e-14	4,999999912e-15	6,463145991e-15	1,651391358e-14	7,370124476e-12	1,044173564e-13	5,822844987e-15	1,596286444e-14	2,052257832e-14	1,101394531e-10	6,814612069e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,658622266e-08	39,7136244	0	0,2586423296	30,06822791	0	30,62907189	0,2661338314	0,03601029302	0
117,482	1769771494,534	30/01/2026_12:11:34,534	1	2	2,83239774e-06	2,228999847e-06	2,936511277e-12	6,933281206e-12	5,891522079e-12	1,198557833e-11	6,976015599e-11	9,27832533e-11	9,70205795e-13	1,135683141e-13	1,138407337e-11	6,224727764e-13	2,536993612e-14	4,999999912e-15	1,642902225e-14	9,979459276e-15	7,374919252e-12	1,062145638e-13	1,007647504e-14	2,51759012e-14	2,037171667e-14	1,099252148e-10	6,807427538e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,82178715e-08	39,67454414	0	0,2571574266	30,09899086	0	30,62698707	0,2662274597	0,03940344799	0
