Dauer (s);MFC-1 (mln/min);MFC-2 (mln/min);MFC-3 (mln/min);MFC-4 (mln/min);MFC-5 (mln/min);MFC-6 (mln/min);MFC-7 (mln/min);MFC-8 (mln/min);TIC-1 (°C);TIC-2 (°C);TIC-3 (°C);TIC-4 (°C);TIR-1 (°C);TIR-2 (°C);HIR-1 (°C);PIR-1 (bar)
5;0,00;0,00;0,00;0,00;49,00;0,00;71,01;79,97;30,55;179,81;460,00;180,51;446,72;453,72;77,86;-0,01
10;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,00;30,54;179,79;459,49;180,52;446,72;452,82;77,86;-0,01
15;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,00;30,55;179,79;458,29;180,47;446,66;451,78;77,86;-0,01
20;0,00;0,00;0,00;0,00;49,00;0,00;70,99;79,98;30,55;179,79;456,96;180,44;446,61;451,18;77,86;-0,01
25;0,00;0,00;0,00;0,00;49,01;0,00;71,00;80,02;30,55;179,80;456,30;180,34;446,46;449,97;77,86;-0,01
30;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,02;30,54;179,83;455,46;180,27;446,39;449,50;77,86;-0,01
35;0,00;0,00;0,00;0,00;48,99;0,00;71,01;80,00;30,54;179,83;455,55;180,16;446,28;449,26;77,86;-0,01
40;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,00;30,55;179,83;456,91;180,08;446,25;449,64;77,86;-0,01
45;0,00;0,00;0,00;0,00;49,00;0,00;71,03;79,97;30,54;179,81;458,04;180,06;446,22;451,28;77,86;-0,01
50;0,00;0,00;0,00;0,00;48,99;0,00;71,02;80,02;30,55;179,78;460,37;180,05;446,22;452,29;77,86;-0,01
55;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,02;30,54;179,78;461,18;180,07;446,28;453,98;77,86;-0,01
60;0,00;0,00;0,00;0,00;49,00;0,00;70,99;79,98;30,54;179,81;462,04;180,14;446,33;454,52;77,86;-0,01
65;0,00;0,00;0,00;0,00;49,00;0,00;71,03;80,00;30,54;179,82;462,14;180,19;446,47;454,96;77,86;-0,01
70;0,00;0,00;0,00;0,00;49,00;0,00;70,99;79,98;30,55;179,82;461,82;180,30;446,54;454,94;77,86;-0,01
75;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,03;30,54;179,82;461,48;180,37;446,65;454,51;77,86;-0,01
80;0,00;0,00;0,00;0,00;48,99;0,00;71,00;80,00;30,54;179,81;460,51;180,47;446,69;454,15;77,86;-0,01
85;0,00;0,00;0,00;0,00;49,00;0,00;71,01;79,98;30,54;179,81;459,95;180,50;446,72;453,23;77,86;-0,01
90;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;30,54;179,80;458,70;180,54;446,68;452,70;77,86;-0,01
95;0,00;0,00;0,00;0,00;49,00;0,00;70,99;80,03;30,53;179,80;458,02;180,54;446,63;451,52;77,86;-0,01
100;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,02;30,54;179,80;456,58;180,49;446,49;450,89;77,86;-0,01
