PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\05-002-2026\MCD 256_kwinda_New_1%MeOH - Oxidative coupling_removed, Position 1, RGA PrismaPro A 100 47507368, 05-002-2026 12'37'34.isi
05/02/2026 12:37:34
SensorID:  RGA PrismaPro A 100 47507368
52 Bins
195 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH2CH2	Sig:_MCD_CH3CH3	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
8,699	1770291462,945	05/02/2026_12:37:42,945	1	2	2,736816441e-06	1,967938033e-06	2,965535586e-12	6,923562418e-12	5,843847975e-12	1,186808551e-11	6,860330359e-11	9,125398354e-11	9,587023016e-13	9,528726956e-14	1,124720282e-11	6,111534889e-13	4,999999912e-15	7,098593496e-15	4,999999912e-15	2,012190632e-14	7,283479375e-12	9,614294902e-14	1,199979549e-14	4,999999912e-15	2,803834401e-14	1,084646609e-10	6,684241355e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,553314906e-09	39,75655922	0	0,2396252171	30,06837912	0	30,54398426	0,2728275699	0,03372145665	0
14,435	1770291468,681	05/02/2026_12:37:48,681	1	2	2,748653742e-06	1,997577101e-06	2,970823457e-12	6,851588307e-12	5,834512994e-12	1,186236612e-11	6,871897495e-11	9,11469511e-11	9,590404642e-13	9,569327617e-14	1,12108621e-11	6,108377693e-13	1,080699861e-14	4,999999912e-15	4,999999912e-15	1,904940168e-14	7,275495744e-12	1,018925409e-13	4,999999912e-15	1,21341671e-14	2,353150023e-14	1,082710727e-10	6,675603126e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	9,553856683e-09	39,73912994	0	0,273165552	30,10934558	0	30,53842098	0,2739419663	0,03394825096	0
20,171	1770291474,417	05/02/2026_12:37:54,417	1	2	2,745001211e-06	1,985363042e-06	2,966271543e-12	6,873767614e-12	5,843089467e-12	1,187604529e-11	6,870481267e-11	9,114114324e-11	9,559440912e-13	1,036839343e-13	1,121325342e-11	6,110496766e-13	1,666525126e-14	4,999999912e-15	6,055680791e-15	1,798466093e-14	7,275360436e-12	1,021122748e-13	4,999999912e-15	2,280437327e-14	1,697182298e-14	1,082124182e-10	6,674865521e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,299413439e-08	39,72814418	0	0,2682880006	30,11443999	0	30,54390778	0,273547485	0,03662161078	0
25,907	1770291480,153	05/02/2026_12:38:00,153	1	2	2,750380418e-06	1,973223789e-06	2,971899202e-12	6,862005755e-12	5,850985928e-12	1,188014357e-11	6,866282543e-11	9,143187596e-11	9,544438807e-13	1,067180876e-13	1,123868359e-11	6,060431562e-13	2,54174733e-14	4,999999912e-15	1,889029501e-14	9,394455123e-15	7,294006545e-12	1,019429766e-13	5,021013953e-15	2,044253371e-14	1,727984482e-14	1,080687276e-10	6,684379439e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,761256139e-08	39,64679377	0	0,228479137	30,14326927	0	30,57133399	0,2735159156	0,03741765539	0
31,643	1770291485,889	05/02/2026_12:38:05,889	1	2	2,751239663e-06	1,967182016e-06	2,971424539e-12	6,869698387e-12	5,857474228e-12	1,188721517e-11	6,865345792e-11	9,128091338e-11	9,462261703e-13	1,1517149e-13	1,121768563e-11	6,155443993e-13	2,210683148e-14	4,999999912e-15	2,779968232e-14	4,999999912e-15	7,309105578e-12	9,598189078e-14	1,66312988e-14	2,615430049e-14	1,168740973e-14	1,080457182e-10	6,677550873e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,582237401e-08	39,66676763	0	0,2460585302	30,13398221	0	30,55983982	0,273779452	0,03989186864	0
37,379	1770291491,625	05/02/2026_12:38:11,625	1	2	2,74439958e-06	1,986124062e-06	2,972947409e-12	6,858773532e-12	5,861522205e-12	1,187778088e-11	6,876179487e-11	9,118610728e-11	9,412038206e-13	1,242511411e-13	1,116332114e-11	6,224606876e-13	1,873749365e-14	4,999999912e-15	2,799661748e-14	4,999999912e-15	7,307250291e-12	8,910061545e-14	1,950197477e-14	2,086794753e-14	1,583480322e-14	1,083865289e-10	6,645329426e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,406980198e-08	39,79233603	0	0,2631118936	30,1447992	0	30,41113101	0,2740877211	0,04275066442	0
43,115	1770291497,361	05/02/2026_12:38:17,361	1	2	2,746841119e-06	1,97928648e-06	2,969971491e-12	6,862695308e-12	5,868473242e-12	1,186024976e-11	6,873377562e-11	9,111828653e-11	9,36413707e-13	1,311435905e-13	1,117649983e-11	6,309130193e-13	1,212543249e-14	4,999999912e-15	2,004574451e-14	4,999999912e-15	7,322884486e-12	8,337720705e-14	2,679023419e-14	1,204781887e-14	1,902126833e-14	1,082552659e-10	6,678748526e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,041608227e-08	39,72188443	0	0,2789541737	30,09749605	0	30,5439203	0,2738274229	0,04490885146	0
48,851	1770291503,097	05/02/2026_12:38:23,097	1	2	2,749433179e-06	1,971712209e-06	2,966445232e-12	6,83654652e-12	5,874917306e-12	1,185409236e-11	6,861278212e-11	9,103549165e-11	9,323806918e-13	1,325745476e-13	1,122520306e-11	6,38201731e-13	4,999999912e-15	7,308632256e-15	1,48447674e-14	4,999999912e-15	7,315304612e-12	7,345354522e-14	3,143435151e-14	4,999999912e-15	2,836091279e-14	1,079642903e-10	6,659002516e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,968413529e-09	39,700393	0	0,2678821505	30,12627217	0	30,51870402	0,2739961627	0,04525799969	0
54,587	1770291508,833	05/02/2026_12:38:28,833	1	2	2,74405329e-06	2,023776915e-06	2,955508668e-12	6,841177364e-12	5,863951252e-12	1,18475646e-11	6,873115271e-11	9,116615796e-11	9,371374119e-13	1,24602802e-13	1,116794157e-11	6,39390125e-13	4,999999912e-15	1,371647885e-14	9,905725057e-15	4,999999912e-15	7,292453967e-12	7,080405327e-14	3,764040268e-14	4,999999912e-15	3,398875555e-14	1,079200201e-10	6,67859032e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,2230354e-09	39,64725199	0	0,2784508813	30,14237646	0	30,58043376	0,2728822086	0,04259264925	0
60,323	1770291514,569	05/02/2026_12:38:34,569	1	2	2,747785857e-06	1,980801471e-06	2,933912445e-12	6,794333325e-12	5,858377585e-12	1,183501387e-11	6,861112373e-11	9,11405118e-11	9,435247722e-13	1,131104216e-13	1,118312387e-11	6,349450046e-13	4,999999912e-15	1,330707395e-14	4,999999912e-15	4,999999912e-15	7,309061342e-12	6,715240614e-14	3,205815401e-14	4,999999912e-15	3,172054023e-14	1,081961257e-10	6,699721333e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,078765605e-09	39,68592019	0	0,2683920583	30,06166321	0	30,62920717	0,2704012008	0,0389874198	0
