Dauer (s);MFC-1 (mln/min);MFC-2 (mln/min);MFC-3 (mln/min);MFC-4 (mln/min);MFC-5 (mln/min);MFC-6 (mln/min);MFC-7 (mln/min);MFC-8 (mln/min);TIC-1 (°C);TIC-2 (°C);TIC-3 (°C);TIC-4 (°C);TIR-1 (°C);TIR-2 (°C);HIR-1 (°C);PIR-1 (bar)
8405;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,05;33,72;180,00;865,28;180,06;828,86;856,76;77,88;0,75
8410;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,00;33,73;180,02;863,69;180,02;828,20;854,31;77,88;0,75
8415;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,00;33,73;180,03;860,73;180,00;827,82;853,02;77,88;0,75
8420;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,02;33,74;180,02;860,18;179,97;827,60;851,65;77,88;0,75
8425;0,00;0,00;0,00;0,00;48,99;0,00;71,00;80,02;33,74;180,00;861,74;179,96;827,81;851,97;77,88;0,75
8430;0,00;0,00;0,00;0,00;49,01;0,00;71,00;80,03;33,74;179,99;863,51;179,97;828,65;854,40;77,88;0,75
8435;0,00;0,00;0,00;0,00;49,00;0,00;71,03;80,00;33,74;179,98;866,89;179,98;829,00;855,82;77,88;0,75
8440;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,00;33,75;179,98;867,83;180,02;829,28;857,72;77,88;0,75
8445;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;33,75;179,99;867,54;180,04;829,29;857,87;77,88;0,75
8450;0,00;0,00;0,00;0,00;49,00;0,00;70,98;80,02;33,75;180,00;866,59;180,08;829,03;856,75;77,88;0,75
8455;0,00;0,00;0,00;0,00;49,01;0,00;70,98;80,00;33,74;179,99;863,55;180,12;828,74;855,60;77,88;0,75
8460;0,00;0,00;0,00;0,00;49,01;0,00;71,03;79,98;33,75;179,99;861,95;180,14;827,98;852,98;77,88;0,75
8465;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,03;33,76;179,97;860,71;180,15;827,76;852,03;77,88;0,75
8470;0,00;0,00;0,00;0,00;48,99;0,00;70,99;80,03;33,75;179,96;861,10;180,15;827,87;851,75;77,88;0,75
8475;0,00;0,00;0,00;0,00;49,00;0,00;71,03;80,00;33,77;179,97;862,84;180,15;828,64;853,79;77,88;0,75
8480;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;33,75;179,99;866,40;180,15;829,05;855,25;77,88;0,75
8485;0,00;0,00;0,00;0,00;49,00;0,00;70,99;80,00;33,74;180,00;867,53;180,13;829,41;857,45;77,88;0,75
8490;0,00;0,00;0,00;0,00;49,00;0,00;71,03;80,00;33,75;180,00;867,78;180,10;829,44;857,85;77,88;0,75
8495;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,03;33,77;180,00;867,02;180,08;829,26;857,10;77,88;0,75
8500;0,00;0,00;0,00;0,00;49,00;0,00;70,99;80,00;33,75;179,97;864,22;180,04;829,01;856,09;77,88;0,75
8505;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;33,75;179,96;862,57;180,03;828,27;853,50;77,88;0,75
8510;0,00;0,00;0,00;0,00;49,01;0,00;71,02;80,02;33,76;179,97;860,29;179,99;827,98;852,36;77,88;0,75
8515;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,00;33,78;179,98;860,25;179,98;828,02;851,76;77,88;0,75
8520;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;33,76;180,00;862,66;179,98;828,79;852,51;77,88;0,75
8525;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;33,77;180,02;864,71;179,98;829,21;855,25;77,88;0,75
8530;0,00;0,00;0,00;0,00;49,01;0,00;70,99;79,98;33,76;180,01;867,54;180,00;829,58;856,54;77,88;0,75
8535;0,00;0,00;0,00;0,00;48,99;0,00;71,00;79,98;33,75;180,00;868,01;180,03;829,63;857,90;77,88;0,75
8540;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;33,77;179,96;867,10;180,06;829,46;857,78;77,88;0,75
8545;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,03;33,76;179,95;865,83;180,08;829,21;856,18;77,88;0,75
8550;0,00;0,00;0,00;0,00;49,01;0,00;71,02;80,00;33,76;179,95;862,67;180,12;828,46;854,90;77,88;0,75
8555;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,00;33,77;179,96;861,21;180,13;828,15;852,42;77,88;0,75
8560;0,00;0,00;0,00;0,00;48,99;0,00;71,00;79,98;33,76;179,98;860,19;180,14;828,15;851,72;77,88;0,75
8565;0,00;0,00;0,00;0,00;49,00;0,00;70,98;80,05;33,75;180,01;861,05;180,14;828,47;852,39;77,88;0,75
8570;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;33,77;180,01;864,50;180,12;829,31;855,08;77,88;0,75
8575;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,02;33,77;180,00;866,20;180,10;829,57;856,44;77,88;0,75
8580;0,00;0,00;0,00;0,00;48,99;0,00;71,00;80,03;33,77;179,98;867,93;180,05;829,75;857,83;77,88;0,75
8585;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;33,76;179,94;867,76;180,03;829,71;857,72;77,88;0,75
8590;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;33,76;179,93;865,87;179,98;829,35;856,16;77,88;0,75
8595;0,00;0,00;0,00;0,00;49,00;0,00;71,03;80,02;33,77;179,94;864,37;179,96;828,98;854,90;77,88;0,75
8600;0,00;0,00;0,00;0,00;49,01;0,00;71,01;80,02;33,76;179,95;861,19;179,92;828,29;852,43;77,88;0,75
8605;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,03;33,78;180,00;860,30;179,92;828,19;851,76;77,88;0,75
8610;0,00;0,00;0,00;0,00;49,00;0,00;70,99;80,03;33,78;180,02;861,02;179,92;828,62;852,44;77,88;0,75
8615;0,00;0,00;0,00;0,00;49,01;0,00;70,99;80,03;33,78;180,03;864,41;179,93;829,04;853,68;77,88;0,75
8620;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,03;33,77;180,02;866,23;179,97;829,71;856,42;77,88;0,75
8625;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;33,78;179,96;867,88;180,00;829,84;857,35;77,88;0,75
8630;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;33,78;179,95;867,72;180,05;829,84;857,69;77,88;0,75
8635;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;33,79;179,94;865,75;180,08;829,70;857,07;77,88;0,75
8640;0,00;0,00;0,00;0,00;48,99;0,00;70,98;80,00;33,80;179,95;864,24;180,12;829,09;854,86;77,88;0,75
8645;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;33,79;179,99;861,17;180,13;828,70;853,51;77,88;0,75
8650;0,00;0,00;0,00;0,00;48,99;0,00;71,01;80,03;33,78;180,02;860,22;180,14;828,30;851,69;77,88;0,75
8655;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;33,79;180,04;860,99;180,14;828,41;851,69;77,88;0,75
8660;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;33,79;180,03;862,55;180,10;829,15;853,66;77,88;0,75
8665;0,00;0,00;0,00;0,00;49,00;0,00;71,02;79,98;33,80;179,98;866,28;180,09;829,58;855,13;77,88;0,75
8670;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;33,82;179,96;867,43;180,03;829,96;857,38;77,88;0,75
8675;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;33,79;179,92;867,68;180,01;830,00;857,81;77,88;0,75
8680;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,03;33,80;179,92;866,90;179,96;829,82;857,08;77,88;0,75
8685;0,00;0,00;0,00;0,00;49,01;0,00;71,00;79,98;33,81;179,95;864,21;179,94;829,58;856,07;77,88;0,75
8690;0,00;0,00;0,00;0,00;48,99;0,00;71,00;80,05;33,80;179,97;862,59;179,91;828,83;853,47;77,88;0,75
8695;0,00;0,00;0,00;0,00;49,01;0,00;71,02;80,02;33,82;180,02;860,25;179,92;828,53;852,36;77,88;0,75
8700;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;33,81;180,04;860,25;179,93;828,58;851,77;77,88;0,75
8705;0,00;0,00;0,00;0,00;49,00;0,00;71,03;79,98;33,79;180,03;862,67;179,96;828,90;852,50;77,88;0,75
8710;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;33,80;180,00;864,54;179,99;829,73;855,19;77,88;0,75
8715;0,00;0,00;0,00;0,00;49,01;0,00;70,99;80,00;33,80;179,94;867,41;180,04;829,98;856,46;77,88;0,75
8720;0,00;0,00;0,00;0,00;49,00;0,00;71,02;79,97;33,80;179,92;867,83;180,07;830,12;857,75;77,88;0,75
8725;0,00;0,00;0,00;0,00;48,99;0,00;71,05;80,03;33,80;179,93;866,84;180,11;830,07;857,59;77,88;0,75
8730;0,00;0,00;0,00;0,00;49,00;0,00;70,98;80,00;33,83;179,95;865,64;180,12;829,66;855,94;77,88;0,75
8735;0,00;0,00;0,00;0,00;48,99;0,00;71,00;80,00;33,82;179,98;862,40;180,12;829,29;854,71;77,88;0,75
8740;0,00;0,00;0,00;0,00;48,99;0,00;71,00;80,03;33,81;179,99;861,02;180,11;828,62;852,26;77,88;0,75
8745;0,00;0,00;0,00;0,00;49,01;0,00;71,02;79,98;33,81;179,98;860,23;180,08;828,68;851,68;77,88;0,75
