PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\05-002-2026\MCD 256_kwinda_New_1%MeOH - Oxidative coupling_removed, Position 1, RGA PrismaPro A 100 47507368, 05-002-2026 12'57'34.isi
05/02/2026 12:57:34
SensorID:  RGA PrismaPro A 100 47507368
52 Bins
2562 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH2CH2	Sig:_MCD_CH3CH3	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
8,566	1770292663,341	05/02/2026_12:57:43,341	1	2	2,738441253e-06	1,999106416e-06	2,275418352e-12	6,82018721e-12	5,777315258e-12	1,173325846e-11	6,785579043e-11	9,029204467e-11	9,49825071e-13	8,547080144e-14	1,100428342e-11	6,027902786e-13	7,79468009e-15	4,999999912e-15	4,999999912e-15	1,314214986e-14	7,20738573e-12	1,004596322e-13	7,550199276e-15	4,999999912e-15	2,40350105e-14	1,061704544e-10	6,590859802e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	7,195037733e-09	39,5593337	0	0,2341600765	30,24561763	0	30,61648919	0,2130877356	0,03073353255	0
14,302	1770292669,077	05/02/2026_12:57:49,077	1	2	2,738312787e-06	1,965674983e-06	2,279499723e-12	6,784251546e-12	5,771835267e-12	1,172697356e-11	6,78350362e-11	9,004351431e-11	9,407182065e-13	9,286044562e-14	1,101898954e-11	5,960099493e-13	1,340506041e-14	4,999999912e-15	4,999999912e-15	1,4332531e-14	7,212653218e-12	1,029267139e-13	4,999999912e-15	1,519014169e-14	1,836059618e-14	1,062819624e-10	6,582061979e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,094345418e-08	39,6280308	0	0,2619790671	30,21122524	0	30,59045213	0,2138050873	0,03282730123	0
20,038	1770292674,813	05/02/2026_12:57:54,813	1	2	2,734022701e-06	2,00140812e-06	2,284202558e-12	6,825978584e-12	5,784743778e-12	1,174952843e-11	6,784886541e-11	9,019309605e-11	9,428313165e-13	9,578449145e-14	1,102164974e-11	5,927482897e-13	2,308716708e-14	4,999999912e-15	1,74525379e-14	1,240386578e-14	7,221031065e-12	9,748611965e-14	4,999999912e-15	1,847313467e-14	1,79725382e-14	1,061373489e-10	6,561278604e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,616046755e-08	39,60286129	0	0,2288625136	30,27479644	0	30,52101498	0,2140688983	0,03401813271	0
25,774	1770292680,549	05/02/2026_12:58:00,549	1	2	2,730311053e-06	1,999106416e-06	2,294369339e-12	6,784496576e-12	5,778974087e-12	1,175372907e-11	6,789927648e-11	8,992444289e-11	9,299684503e-13	1,154683581e-13	1,101419563e-11	6,040888276e-13	2,284027053e-14	4,999999912e-15	2,217280179e-14	4,999999912e-15	7,248055021e-12	9,090606956e-14	1,413995467e-14	2,022862739e-14	1,1497261e-14	1,062478716e-10	6,574166211e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,673869782e-08	39,63516063	0	0,2782645589	30,21573486	0	30,56463928	0,2153534624	0,04032585809	0
31,51	1770292686,285	05/02/2026_12:58:06,285	1	2	2,731424729e-06	1,983840093e-06	2,302415637e-12	6,762905774e-12	5,79933367e-12	1,175532761e-11	6,789109552e-11	9,007430218e-11	9,207907874e-13	1,232276271e-13	1,100883967e-11	6,110486466e-13	1,758204923e-14	4,999999912e-15	2,849043091e-14	4,999999912e-15	7,243563388e-12	8,454576693e-14	1,674772178e-14	1,472204249e-14	9,770389521e-15	1,062535546e-10	6,584283813e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,321693977e-08	39,6042935	0	0,2610038134	30,21894778	0	30,58889552	0,2157403548	0,04224731513	0
37,246	1770292692,021	05/02/2026_12:58:12,021	1	2	2,738301873e-06	1,992224043e-06	2,303114947e-12	6,7649766e-12	5,804878279e-12	1,174766014e-11	6,775636302e-11	8,996409173e-11	9,21464619e-13	1,298949961e-13	1,099756571e-11	6,221884986e-13	8,356395071e-15	4,999999912e-15	2,479075362e-14	4,999999912e-15	7,263409926e-12	7,84206955e-14	3,595526112e-14	5,639970573e-15	1,474387222e-14	1,061802105e-10	6,577133976e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	7,793162846e-09	39,61096404	0	0,2665944465	30,19823591	0	30,58381834	0,2160648777	0,04498242088	0
42,982	1770292697,757	05/02/2026_12:58:17,757	1	2	2,733014753e-06	1,975493433e-06	2,300587889e-12	6,739233303e-12	5,805416477e-12	1,173201293e-11	6,777484823e-11	8,996472317e-11	9,225773357e-13	1,243137131e-13	1,097737786e-11	6,330687385e-13	4,999999912e-15	4,999999912e-15	1,300050562e-14	4,999999912e-15	7,255528643e-12	7,082152247e-14	3,44369715e-14	4,999999912e-15	2,612859473e-14	1,062027064e-10	6,557116655e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,847727163e-09	39,64411977	0	0,2626446842	30,22624604	0	30,51008107	0,2160098557	0,04300035534	0
48,718	1770292703,493	05/02/2026_12:58:23,493	1	2	2,732580924e-06	1,986887355e-06	2,29905526e-12	6,776012477e-12	5,808960951e-12	1,172008584e-11	6,772068323e-11	9,008455787e-11	9,221703262e-13	1,198165644e-13	1,097152924e-11	6,248034859e-13	4,999999912e-15	8,016357082e-15	4,999999912e-15	4,999999912e-15	7,24376982e-12	6,480123919e-14	3,247192283e-14	4,999999912e-15	3,513013922e-14	1,063440724e-10	6,577438594e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,551210973e-09	39,63297573	0	0,236000036	30,18789554	0	30,56046331	0,2153676651	0,04118286273	0
54,454	1770292709,229	05/02/2026_12:58:29,229	1	2	2,732328994e-06	1,974738552e-06	2,281856995e-12	6,775044067e-12	5,805475024e-12	1,16988693e-11	6,764926119e-11	8,997615153e-11	9,334008176e-13	1,102101402e-13	1,097869191e-11	6,316722319e-13	4,999999912e-15	1,373636888e-14	4,999999912e-15	4,999999912e-15	7,242918071e-12	6,445198379e-14	3,308118346e-14	4,999999912e-15	4,132746933e-14	1,05985859e-10	6,57357016e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,565753615e-09	39,57439821	0	0,2376520278	30,20788067	0	30,59897369	0,2141713357	0,03882585568	0
60,19	1770292714,965	05/02/2026_12:58:34,965	1	2	2,738272542e-06	1,990697683e-06	2,272104596e-12	6,789554596e-12	5,785974998e-12	1,168185167e-11	6,77416942e-11	8,984726851e-11	9,352169646e-13	1,013953326e-13	1,098948016e-11	6,175117926e-13	4,999999912e-15	1,275069528e-14	4,999999912e-15	1,684473077e-14	7,231617215e-12	7,430483366e-14	2,104742704e-14	4,999999912e-15	3,543282814e-14	1,06335038e-10	6,581666462e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,868895833e-09	39,65776368	0	0,2642900681	30,15891392	0	30,59553834	0,2131731305	0,03569469007	0
