Dauer (s);MFC-1 (mln/min);MFC-2 (mln/min);MFC-3 (mln/min);MFC-4 (mln/min);MFC-5 (mln/min);MFC-6 (mln/min);MFC-7 (mln/min);MFC-8 (mln/min);TIC-1 (°C);TIC-2 (°C);TIC-3 (°C);TIC-4 (°C);TIR-1 (°C);TIR-2 (°C);HIR-1 (°C);PIR-1 (bar)
5;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,03;30,67;180,05;461,35;180,23;445,75;454,27;77,86;-0,01
10;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;30,67;180,05;461,94;180,24;445,79;454,67;77,86;-0,01
15;0,00;0,00;0,00;0,00;49,01;0,00;71,00;80,00;30,67;180,06;461,96;180,23;445,91;454,96;77,86;-0,01
20;0,00;0,00;0,00;0,00;49,00;0,00;70,98;80,00;30,67;180,07;461,52;180,20;445,97;454,88;77,86;-0,01
25;0,00;0,00;0,00;0,00;49,00;0,00;71,02;79,98;30,67;180,06;461,14;180,17;446,07;454,37;77,86;-0,01
30;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;30,67;180,06;460,16;180,13;446,13;453,98;77,86;-0,01
35;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;30,67;180,05;459,59;180,09;446,14;453,03;77,86;-0,01
40;0,00;0,00;0,00;0,00;49,01;0,00;71,00;80,02;30,67;180,05;458,28;180,05;446,09;452,48;77,86;-0,01
45;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;30,68;180,05;457,60;180,03;446,05;451,30;77,86;-0,01
50;0,00;0,00;0,00;0,00;49,00;0,00;70,98;80,00;30,68;180,05;456,91;180,02;445,99;450,66;77,86;-0,01
55;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,00;30,68;180,04;455,42;180,01;445,88;449,74;77,86;-0,01
60;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;30,68;180,04;455,32;180,02;445,77;449,22;77,86;-0,01
65;0,00;0,00;0,00;0,00;48,99;0,00;71,03;80,02;30,68;180,03;456,27;180,04;445,71;449,89;77,86;-0,01
70;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,00;30,68;180,05;457,20;180,06;445,69;450,68;77,86;-0,01
75;0,00;0,00;0,00;0,00;49,00;0,00;71,02;79,98;30,68;180,06;459,58;180,11;445,68;452,70;77,86;-0,01
80;0,00;0,00;0,00;0,00;49,01;0,00;71,02;79,98;30,68;180,07;460,66;180,14;445,70;453,63;77,86;-0,01
85;0,00;0,00;0,00;0,00;48,99;0,00;71,00;79,98;30,67;180,07;461,89;180,19;445,79;454,80;77,86;-0,01
90;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,00;30,69;180,04;462,14;180,21;445,84;455,08;77,86;-0,01
95;0,00;0,00;0,00;0,00;49,01;0,00;71,00;80,02;30,68;180,04;462,06;180,24;445,98;455,11;77,86;-0,01
